,Advertiser_ID,Advertiser_Name,Date_Range_Start,Date_Range_End,Num_of_Days,Impressions,Spend_USD
9695,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-29,2019-05-10,12,≤ 10k,≤ 100
9696,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-29,2019-05-09,11,10k-100k,≤ 100
9699,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-06,2019-06-05,29,≤ 10k,≤ 100
9701,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-26,2019-03-26,1,≤ 10k,≤ 100
9707,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-04,2020-02-24,21,≤ 10k,100-1k
9708,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-03-12,1,≤ 10k,≤ 100
9710,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-12,2019-09-25,13,10k-100k,≤ 100
9711,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-13,2019-07-15,62,100k-1M,1k-50k
9712,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-13,2019-07-13,1,≤ 10k,≤ 100
9714,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2019-07-19,1,≤ 10k,≤ 100
9716,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-25,2019-03-07,10,≤ 10k,≤ 100
9719,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-11,2019-04-11,16,≤ 10k,≤ 100
9720,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-06-11,2019-07-15,35,≤ 10k,≤ 100
9721,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-02-12,2019-03-11,27,10k-100k,≤ 100
9722,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-14,2019-05-10,57,10k-100k,100-1k
9727,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-03-12,2019-04-11,29,≤ 10k,≤ 100
9728,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-09-16,2020-02-23,64,≤ 10k,100-1k
9729,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-19,2019-07-30,12,≤ 10k,≤ 100
9730,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-02-04,2020-02-24,21,10k-100k,1k-50k
9734,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-07-15,2020-02-23,221,≤ 10k,1k-50k
9738,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-29,2020-01-30,2,≤ 10k,≤ 100
9741,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2020-01-26,2020-02-03,9,10k-100k,100-1k
9743,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-04-04,2019-04-10,2,≤ 10k,≤ 100
9744,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2019-05-09,2019-05-16,8,≤ 10k,≤ 100
9746,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",2018-10-30,2018-11-05,7,100k-1M,1k-50k
